ATT&CK_ID,Technique_Name,Primary_Defense,Secondary_Defense,Defense_Rationale,Why_Primary_Defense_Works
T1571,Non-Standard Port,Network Segmentation,Access Control,Uses non-standard ports to evade detection,"Segmentation and egress policies strictly define which ports/services infrastructure devices may use, anomaly detection flags connections on unexpected ports"
T1572,Protocol Tunneling,Configuration Management,Network Segmentation,Creates GRE/mGRE/IPsec tunnels for C2,"Tunnel creation requires config approval, alert on new tunnel establishment, audit tunnel configurations"
T1583.003,Acquire Infrastructure: VPS,Threat Intelligence,Network Segmentation,Pre-attack infrastructure setup outside defender control,"Threat intelligence identifies known malicious VPS infrastructure, egress filtering blocks connections to suspicious Ips"
T1584.008,Compromise Infrastructure: Network Devices,Patch Management,Platform Integrity,Device compromise via software vulnerabilities,"Timely patching eliminates known CVEs, secure boot prevents unauthorized firmware"
T1588.002,Obtain Capabilities: Tool,Threat Intelligence,—,Pre-attack preparation phase outside network,"Intelligence on attacker toolkits, cannot be prevented but can inform detection strategies"
T1588.005,Obtain Capabilities: Exploits,Threat Intelligence,—,Tool acquisition happens outside target network,"Threat intelligence on known exploit frameworks, vulnerability disclosure programs reduce exploit availability"
T1590.004,Gather Victim Network Information,Access Control,Configuration Management,Topology gathering from compromised device config files,"Restrict access to configuration files, least-privilege reduces exposure of network topology information"
T1595,Active Scanning,Access Control,Network Segmentation,Scanning requires network access and reconnaissance capability,"Firewall rules and network access controls limit scanning surface, rate limiting detects reconnaissance"
T1599,Network Boundary Bridging,Network Segmentation,Access Control,Abuses peering connections to move between networks,"Peering connection auditing, monitor BGP route changes, bilateral telemetry at interconnects"
T1602.001,Data from Config Repository: SNMP,Access Control,Cryptographic Controls,Targets MIB to collect network info via SNMP,"Restrict SNMP access to management networks and least-privilege accounts, SNMPv3 with authentication and encryption prevents credential theft via passive interception"
T1602.002,Data from Config Repository: Network Device,Cryptographic Controls,Configuration Management,Acquires credentials by collecting device configurations,"Encrypt or strongly hash stored secrets in configuration files so that exfiltrated configs do not yield reusable credentials, configuration access is logged and alerted on"
T1609,Container Administration Command,Platform Integrity,Configuration Management,Uses Guest Shell container for reconnaissance and tool deployment,"Disable Guest Shell on production routers, monitor container state changes, restrict container capabilities"
T1610,Deploy Container,Platform Integrity,Configuration Management,Deploys Guest Shell to persist and evade monitoring,"Container deployment restrictions, runtime integrity verification, monitor for unexpected container activation"
